strategy,condition,n,valid_pct,btcpp_pct,coverage_mean,coverage_ci95_halfwidth,coverage_boot_lo,coverage_boot_hi,coverage_min,coverage_max,nodes_avg,tokens_avg
zero_shot,raw,110,0.03636363636363636,0.03636363636363636,0.2767909090909091,0.03690247244711781,0.23962590909090906,0.3128556818181819,0.0,0.714,32.945454545454545,728.7818181818182
zero_shot,repaired,110,0.5454545454545454,0.5818181818181818,0.23235454545454545,0.03764749905527176,0.19579159090909096,0.26959204545454546,0.0,0.714,31.418181818181818,728.7818181818182
few_shot_generic,raw,110,0.9818181818181818,0.9818181818181818,0.37418181818181817,0.04145018008005931,0.3321318181818182,0.4152340909090909,0.0,0.875,41.00909090909091,1795.1636363636364
few_shot_generic,repaired,110,1.0,1.0,0.37418181818181817,0.04145018008005931,0.3321318181818182,0.4152340909090909,0.0,0.875,41.41818181818182,1795.1636363636364
proposed,raw,110,0.01818181818181818,0.01818181818181818,0.6319272727272727,0.0464586083840741,0.5843447727272728,0.6777788636363636,0.0,1.0,76.1,4060.927272727273
proposed,repaired,110,0.9636363636363636,0.9636363636363636,0.5978636363636364,0.04785281473588508,0.5487068181818182,0.643529090909091,0.0,1.0,76.15454545454546,4060.927272727273
proposed_with_few_shot,raw,110,1.0,1.0,0.6941454545454545,0.0391992303480437,0.6563543181818181,0.7322388636363635,0.167,1.0,120.26363636363637,5579.527272727273
proposed_with_few_shot,repaired,110,1.0,1.0,0.6941454545454545,0.0391992303480437,0.6563543181818181,0.7322388636363635,0.167,1.0,120.26363636363637,5579.527272727273
